Country,Year,Inventory
   Finland,2014,4980000
   France,2014,29940000
   Germany,2014,187200000
   Ireland,2014,360000
   Italy,2014,22260000
   Netherlands,2014,42420000
   Portugal,2014,6000000
   Spain,2014,38400000
   Sweden,2014,5220000
Japan,2014,176040000
Norway,2014,7440000
Switzerland,2014,12360000
United Kingdom,2014,2400000
United States of America,2014,331500000
Unspecified EU stocks,2014,450060000
   Austria,2015,5760000
   Cyprus,2015,360000
   Denmark,2015,5340000
   Finland,2015,4980000
   France,2015,30420000
   Germany,2015,211140000
   Ireland,2015,240000
   Italy,2015,22200000
   Netherlands,2015,42420000
   Portugal,2015,7740000
   Spain,2015,38220000
   Sweden,2015,5220000
Japan,2015,191100000
Norway,2015,7440000
Switzerland,2015,13020000
United Kingdom,2015,2580000
United States of America,2015,350160000
Unspecified EU stocks,2015,447840000
   Austria,2016,5400000
   Cyprus,2016,120000
   Denmark,2016,5340000
   Finland,2016,4980000
   France,2016,34320000
   Germany,2016,239460000
   Ireland,2016,240000
   Italy,2016,24180000
   Netherlands,2016,42420000
   Portugal,2016,7740000
   Spain,2016,44040000
   Sweden,2016,5220000
Japan,2016,193740000
Norway,2016,7440000
Switzerland,2016,13140000
United Kingdom,2016,1560000
United States of America,2016,375360000
Unspecified EU stocks,2016,417240000
   Austria,2017,4800000
   Cyprus,2017,180000
   Denmark,2017,5340000
   Finland,2017,4980000
   France,2017,28500000
   Germany,2017,216060000
   Ireland,2017,180000
   Italy,2017,23760000
   Netherlands,2017,42420000
   Portugal,2017,7740000
   Spain,2017,43380000
   Sweden,2017,5220000
Japan,2017,181260000
Norway,2017,7440000
Switzerland,2017,22080000
United Kingdom,2017,1200000
United States of America,2017,397920000
Unspecified EU stocks,2017,422100000
   Austria,2018,4800000
   Cyprus,2018,300000
   Denmark,2018,5340000
   Finland,2018,4980000
   France,2018,27840000
   Germany,2018,211080000
   Ireland,2018,180000
   Italy,2018,25260000
   Netherlands,2018,42420000
   Portugal,2018,7740000
   Spain,2018,42900000
   Sweden,2018,5220000
Japan,2018,156180000
Norway,2018,7440000
Switzerland,2018,20280000
United Kingdom,2018,1860000
United States of America,2018,367980000
Unspecified EU stocks,2018,485520000
   Austria,2019,4800000
   Cyprus,2019,0
   Denmark,2019,5340000
   Finland,2019,4980000
   France,2019,27120000
   Germany,2019,208740000
   Ireland,2019,180000
   Italy,2019,25680000
   Netherlands,2019,42420000
   Portugal,2019,7740000
   Spain,2019,40200000
   Sweden,2019,5220000
Japan,2019,176040000
Norway,2019,7440000
Switzerland,2019,22740000
United Kingdom,2019,2160000
United States of America,2019,410100000
Unspecified EU stocks,2019,536100000
   Austria,Total_inventorie,306660000
   Cyprus,Total_inventorie,14520000
   Denmark,Total_inventorie,160200000
   Finland,Total_inventorie,219120000
   France,Total_inventorie,843120000
   Germany,Total_inventorie,5179440000
   Ireland,Total_inventorie,6540000
   Italy,Total_inventorie,523440000
   Netherlands,Total_inventorie,1418460000
   Portugal,Total_inventorie,221460000
   Spain,Total_inventorie,865440000
   Sweden,Total_inventorie,156600000
Japan,Total_inventorie,3369300000
Norway,Total_inventorie,223200000
Switzerland,Total_inventorie,398100000
United Kingdom,Total_inventorie,186120000
United States of America,Total_inventorie,8984400000
Unspecified EU stocks,Total_inventorie,9457860000
