Country,Coffee type,Period,Consumption
Nepal,Arabica,2000/01,0
Nicaragua,Arabica,2000/01,10495800
Nigeria,Robusta,2000/01,2400000
Panama,Arabica,2000/01,4020000
Sierra Leone,Robusta,2000/01,300000
Sri Lanka,Robusta/Arabica,2000/01,1800000
Thailand,Robusta/Arabica,2000/01,30000000
Togo,Robusta,2000/01,120000
Trinidad & Tobago,Robusta,2000/01,840000
Uganda,Robusta/Arabica,2000/01,8520000
Venezuela,Arabica,2000/01,71039400
Viet Nam,Robusta/Arabica,2000/01,24097500
Yemen,Arabica,2000/01,0
Angola,Robusta/Arabica,2001/02,1200000
Bolivia (Plurinational State of),Arabica,2001/02,2190000
Brazil,Arabica/Robusta,2001/02,815400000
Burundi,Arabica/Robusta,2001/02,120000
Ecuador,Arabica/Robusta,2001/02,12000000
Indonesia,Robusta/Arabica,2001/02,120000000
Madagascar,Robusta,2001/02,7680000
Malawi,Arabica,2001/02,60000
Papua New Guinea,Arabica/Robusta,2001/02,120000
Paraguay,Arabica,2001/02,1200000
Peru,Arabica,2001/02,12000000
Rwanda,Arabica,2001/02,120000
Timor-Leste,Arabica,2001/02,0
Zimbabwe,Arabica,2001/02,240000
Congo,Robusta,2001/02,180000
Cuba,Arabica,2001/02,13200000
Dominican Republic,Arabica/Robusta,2001/02,20411880
Haiti,Arabica,2001/02,20400000
Philippines,Robusta/Arabica,2001/02,49260000
Tanzania,Arabica/Robusta,2001/02,900000
Zambia,Arabica,2001/02,36000
Cameroon,Robusta/Arabica,2001/02,4140000
Central African Republic,Robusta,2001/02,180000
Colombia,Arabica,2001/02,76020000
Costa Rica,Arabica,2001/02,22500000
Côte d'Ivoire,Robusta,2001/02,19000020
Democratic Republic of Congo,Robusta/Arabica,2001/02,12000000
El Salvador,Arabica,2001/02,9198000
Equatorial Guinea,Robusta,2001/02,0
Ethiopia,Arabica,2001/02,127260000
Gabon,Robusta,2001/02,18000
Ghana,Robusta,2001/02,60000
Guatemala,Arabica/Robusta,2001/02,18000000
Guinea,Robusta,2001/02,3000000
Guyana,Robusta,2001/02,250020
Honduras,Arabica,2001/02,12000000
India,Robusta/Arabica,2001/02,64020000
Jamaica,Arabica,2001/02,600000
Kenya,Arabica,2001/02,3000000
Lao People's Democratic Republic,Robusta,2001/02,0
Liberia,Robusta,2001/02,300000
Mexico,Arabica/Robusta,2001/02,90000000
